!Header: VOA , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r
NSAV_COMM,REG,Value
osd,Asia,N_America,exprev,114.67431641
others,Asia,N_America,exprev,2099.0783691
Intermediate,Asia,N_America,exprev,670869.25
pdr,Europe,N_America,exprev,0.29224133492
wht,Europe,N_America,exprev,13.884033203
gro,Europe,N_America,exprev,64.235450745
osd,Europe,N_America,exprev,51.208145142
others,Europe,N_America,exprev,1376.4467773
Intermediate,Europe,N_America,exprev,484491.875
pdr,N_America,N_America,exprev,146.27639771
wht,N_America,N_America,exprev,761.2265625
gro,N_America,N_America,exprev,1614.1293945
osd,N_America,N_America,exprev,1726.1470947
others,N_America,N_America,exprev,8820.4238281
Intermediate,N_America,N_America,exprev,715809.75
pdr,Oceania,N_America,exprev,0.31798267365
wht,Oceania,N_America,exprev,0.1979650408
gro,Oceania,N_America,exprev,8.9101266861
osd,Oceania,N_America,exprev,4.9072656631
others,Oceania,N_America,exprev,279.22473145
Intermediate,Oceania,N_America,exprev,18301.152344
pdr,S_America,N_America,exprev,1.6702026129
wht,S_America,N_America,exprev,3.7830088139
gro,S_America,N_America,exprev,101.1701889
osd,S_America,N_America,exprev,308.23712158
others,S_America,N_America,exprev,6225.734375
Intermediate,S_America,N_America,exprev,113281.02344
pdr,ROW,N_America,exprev,8.45964066684246E-0004
wht,ROW,N_America,exprev,0.015412390232
gro,ROW,N_America,exprev,0.013362601399
osd,ROW,N_America,exprev,0.017156701535
others,ROW,N_America,exprev,0.089584819973
Intermediate,ROW,N_America,exprev,7.3289079666
pdr,Africa,Oceania,exprev,0.32309308648
wht,Africa,Oceania,exprev,1.5909513235
