!Header: AG01, dimensions: REG*GDPEXPEND [6*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Intermediate,S_America,Asia,exprev,36325.914063
pdr,Africa,Europe,exprev,17.873830795
wht,Africa,Europe,exprev,37.040142059
gro,Africa,Europe,exprev,55.517829895
osd,Africa,Europe,exprev,104.81724548
others,Africa,Europe,exprev,6429.5229492
Intermediate,Africa,Europe,exprev,76387.789063
pdr,Asia,Europe,exprev,193.17131042
wht,Asia,Europe,exprev,263.36209106
gro,Asia,Europe,exprev,115.55450439
osd,Asia,Europe,exprev,486.61572266
others,Asia,Europe,exprev,6224.0517578
Intermediate,Asia,Europe,exprev,459264.21875
pdr,Europe,Europe,exprev,129.91326904
wht,Europe,Europe,exprev,3097.7531738
gro,Europe,Europe,exprev,2497.0410156
osd,Europe,Europe,exprev,1241.8912354
others,Europe,Europe,exprev,26289.355469
Intermediate,Europe,Europe,exprev,1966362.125
pdr,N_America,Europe,exprev,47.650123596
wht,N_America,Europe,exprev,602.92791748
gro,N_America,Europe,exprev,201.89828491
osd,N_America,Europe,exprev,1421.7072754
others,N_America,Europe,exprev,3100.3395996
Intermediate,N_America,Europe,exprev,337325.78125
pdr,Oceania,Europe,exprev,10.127565384
wht,Oceania,Europe,exprev,60.771190643
gro,Oceania,Europe,exprev,3.8715760708
osd,Oceania,Europe,exprev,66.573036194
others,Oceania,Europe,exprev,619.5333252
Intermediate,Oceania,Europe,exprev,20487.527344
pdr,S_America,Europe,exprev,36.32421875
wht,S_America,Europe,exprev,25.060445786
gro,S_America,Europe,exprev,402.47756958
osd,S_America,Europe,exprev,2223.2355957
others,S_America,Europe,exprev,6420.2797852
Intermediate,S_America,Europe,exprev,58414.683594
pdr,Africa,N_America,exprev,0.40958440304
wht,Africa,N_America,exprev,16.733236313
gro,Africa,N_America,exprev,18.375423431
osd,Africa,N_America,exprev,14.609483719
others,Africa,N_America,exprev,734.87109375
Intermediate,Africa,N_America,exprev,31171.113281
pdr,Asia,N_America,exprev,36.214202881
wht,Asia,N_America,exprev,13.742861748
gro,Asia,N_America,exprev,9.4941663742
osd,Asia,N_America,exprev,72.117492676
others,Asia,N_America,exprev,2776.1630859
Intermediate,Asia,N_America,exprev,531031.875
pdr,Europe,N_America,exprev,0.44854521751
wht,Europe,N_America,exprev,6.1178665161
gro,Europe,N_America,exprev,121.77112579
osd,Europe,N_America,exprev,24.324028015
others,Europe,N_America,exprev,1530.7713623
Intermediate,Europe,N_America,exprev,405952.8125
pdr,N_America,N_America,exprev,95.30796814
wht,N_America,N_America,exprev,709.14428711
gro,N_America,N_America,exprev,1823.1494141
osd,N_America,N_America,exprev,1434.6140137
others,N_America,N_America,exprev,7108.0561523
Intermediate,N_America,N_America,exprev,564028
pdr,Oceania,N_America,exprev,0.08396307379
wht,Oceania,N_America,exprev,0.2114905566
gro,Oceania,N_America,exprev,0.71589511633
osd,Oceania,N_America,exprev,43.181354523
others,Oceania,N_America,exprev,212.91333008
Intermediate,Oceania,N_America,exprev,14742.999023
pdr,S_America,N_America,exprev,0.84316015244
wht,S_America,N_America,exprev,2.4004957676
gro,S_America,N_America,exprev,134.89074707
osd,S_America,N_America,exprev,144.89581299
others,S_America,N_America,exprev,4899.824707
Intermediate,S_America,N_America,exprev,74061.171875
pdr,Africa,Oceania,exprev,0.028294524178
wht,Africa,Oceania,exprev,1.1690801382
gro,Africa,Oceania,exprev,1.2612384558
osd,Africa,Oceania,exprev,0.62386465073
others,Africa,Oceania,exprev,39.145290375
Intermediate,Africa,Oceania,exprev,1144.5187988
pdr,Asia,Oceania,exprev,3.6124663353
wht,Asia,Oceania,exprev,0.46722745895
gro,Asia,Oceania,exprev,0.6541697979
osd,Asia,Oceania,exprev,6.8410263062
others,Asia,Oceania,exprev,213.69514465
Intermediate,Asia,Oceania,exprev,36302.832031
pdr,Europe,Oceania,exprev,0.12426062673
wht,Europe,Oceania,exprev,0.56902700663
gro,Europe,Oceania,exprev,0.67468810081
osd,Europe,Oceania,exprev,0.40555822849
others,Europe,Oceania,exprev,108.45379639
Intermediate,Europe,Oceania,exprev,27444.701172
pdr,N_America,Oceania,exprev,0.3335891664
wht,N_America,Oceania,exprev,7.4825057983
gro,N_America,Oceania,exprev,3.0444619656
osd,N_America,Oceania,exprev,15.60422039
others,N_America,Oceania,exprev,95.252403259
Intermediate,N_America,Oceania,exprev,18537.099609
pdr,Oceania,Oceania,exprev,2.0706813335
wht,Oceania,Oceania,exprev,17.518239975
gro,Oceania,Oceania,exprev,10.761297226
osd,Oceania,Oceania,exprev,5.0434155464
others,Oceania,Oceania,exprev,111.59178162
Intermediate,Oceania,Oceania,exprev,7158.6606445
pdr,S_America,Oceania,exprev,0.010960455984
wht,S_America,Oceania,exprev,0.036206815392
gro,S_America,Oceania,exprev,0.12086220831
osd,S_America,Oceania,exprev,0.61503535509
others,S_America,Oceania,exprev,52.255012512
Intermediate,S_America,Oceania,exprev,1288.3868408
pdr,Africa,S_America,exprev,0.061567794532
wht,Africa,S_America,exprev,2.7513759136
gro,Africa,S_America,exprev,5.7941613197
osd,Africa,S_America,exprev,2.8912317753
others,Africa,S_America,exprev,140.47322083
Intermediate,Africa,S_America,exprev,4520.8012695
pdr,Asia,S_America,exprev,3.4496891499
wht,Asia,S_America,exprev,1.6950649023
gro,Asia,S_America,exprev,2.3848958015
osd,Asia,S_America,exprev,10.797031403
others,Asia,S_America,exprev,423.71566772
Intermediate,Asia,S_America,exprev,51370.667969
pdr,Europe,S_America,exprev,0.65542691946
wht,Europe,S_America,exprev,79.280189514
gro,Europe,S_America,exprev,53.351638794
osd,Europe,S_America,exprev,2.9750654697
others,Europe,S_America,exprev,315.0881958
Intermediate,Europe,S_America,exprev,72753.671875
pdr,N_America,S_America,exprev,91.266181946
wht,N_America,S_America,exprev,1030.270752
gro,N_America,S_America,exprev,704.04724121
osd,N_America,S_America,exprev,146.18859863
others,N_America,S_America,exprev,804.27868652
Intermediate,N_America,S_America,exprev,72254.671875
pdr,Oceania,S_America,exprev,0.033858153969
wht,Oceania,S_America,exprev,3.2698860168
gro,Oceania,S_America,exprev,12.844164848
osd,Oceania,S_America,exprev,0.47225731611
others,Oceania,S_America,exprev,16.785902023
Intermediate,Oceania,S_America,exprev,1826.013916
pdr,S_America,S_America,exprev,117.07254028
wht,S_America,S_America,exprev,1138.4471436
gro,S_America,S_America,exprev,395.28845215
osd,S_America,S_America,exprev,503.69418335
others,S_America,S_America,exprev,1278.6789551
Intermediate,S_America,S_America,exprev,46880.890625
Intermediate,Africa,Africa,xtax,-14.783203125
others,Asia,Africa,xtax,-1.75390625
Intermediate,Asia,Africa,xtax,120.25
wht,Europe,Africa,xtax,-80.148193359
gro,Europe,Africa,xtax,-40.851776123
others,Europe,Africa,xtax,-4.1056518555
Intermediate,Europe,Africa,xtax,-466.7265625
Intermediate,N_America,Africa,xtax,0.23828125
Intermediate,Oceania,Africa,xtax,7.5723876953
Intermediate,S_America,Africa,xtax,5.998046875
Intermediate,Africa,Asia,xtax,-14.25390625
others,Asia,Asia,xtax,-25.375
Intermediate,Asia,Asia,xtax,1413.4375
wht,Europe,Asia,xtax,-15.919677734
gro,Europe,Asia,xtax,-144.83581543
others,Europe,Asia,xtax,-10.870483398
Intermediate,Europe,Asia,xtax,270.375
Intermediate,N_America,Asia,xtax,-1.40625
Intermediate,Oceania,Asia,xtax,200.1796875
Intermediate,S_America,Asia,xtax,42.015625
Intermediate,Africa,Europe,xtax,191.2890625
others,Asia,Europe,xtax,-15.625976563
Intermediate,Asia,Europe,xtax,5123.1875
wht,Europe,Europe,xtax,-9.27734375
gro,Europe,Europe,xtax,-72.411865234
others,Europe,Europe,xtax,-56.224609375
Intermediate,Europe,Europe,xtax,2690.875
Intermediate,N_America,Europe,xtax,27.6875
Intermediate,Oceania,Europe,xtax,76.0703125
Intermediate,S_America,Europe,xtax,57.8046875
Intermediate,Africa,N_America,xtax,19.45703125
others,Asia,N_America,xtax,-3.8466796875
Intermediate,Asia,N_America,xtax,3484.375
wht,Europe,N_America,xtax,-0.043676376343
gro,Europe,N_America,xtax,-29.269561768
others,Europe,N_America,xtax,-10.887817383
Intermediate,Europe,N_America,xtax,-219.875
Intermediate,N_America,N_America,xtax,-24.375
Intermediate,Oceania,N_America,xtax,67.891601563
Intermediate,S_America,N_America,xtax,54.1484375
Intermediate,Africa,Oceania,xtax,-0.33581542969
others,Asia,Oceania,xtax,-0.23515319824
Intermediate,Asia,Oceania,xtax,43.984375
wht,Europe,Oceania,xtax,-0.011631131172
gro,Europe,Oceania,xtax,-0.13199263811
others,Europe,Oceania,xtax,-0.49179077148
Intermediate,Europe,Oceania,xtax,-49.52734375
Intermediate,N_America,Oceania,xtax,0.671875
Intermediate,Oceania,Oceania,xtax,43.912597656
Intermediate,S_America,Oceania,xtax,1.0675048828
Intermediate,Africa,S_America,xtax,3.052734375
others,Asia,S_America,xtax,-0.48522949219
Intermediate,Asia,S_America,xtax,63.625
wht,Europe,S_America,xtax,-6.1079864502
gro,Europe,S_America,xtax,-13.234195709
others,Europe,S_America,xtax,-2.825378418
Intermediate,Europe,S_America,xtax,-86.6875
Intermediate,N_America,S_America,xtax,-11.6953125
Intermediate,Oceania,S_America,xtax,5.1416015625
Intermediate,S_America,S_America,xtax,14.25
!Header: BI02, dimensions: TRAD_COMM*REG*REG*IMPVALUE [6*6*6*2], description: Decomposition of imports at market prices: VIMS=VIWS+MTAX
TRAD_COMM,REG,REG,IMPVALUE,Value
pdr,Africa,Africa,impcost,24.841981888
wht,Africa,Africa,impcost,23.660451889
gro,Africa,Africa,impcost,115.8943634
osd,Africa,Africa,impcost,74.238174438
