!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
wht,Asia,N_America,exprev,1.04787515010684E-0003
gro,Asia,N_America,exprev,2.8811302185
others,Asia,N_America,exprev,3397.7021484
osd,Asia,N_America,exprev,21.782810211
Intermediate,Asia,N_America,exprev,375805.75
pdr,Europe,N_America,exprev,0.67236346006
wht,Europe,N_America,exprev,2.9693882465
gro,Europe,N_America,exprev,34.99080658
others,Europe,N_America,exprev,1286.75354
osd,Europe,N_America,exprev,47.621768951
Intermediate,Europe,N_America,exprev,239241.42188
pdr,N_America,N_America,exprev,65.91822052
wht,N_America,N_America,exprev,461.93197632
gro,N_America,N_America,exprev,1148.4671631
others,N_America,N_America,exprev,4977.4326172
osd,N_America,N_America,exprev,1001.1845093
Intermediate,N_America,N_America,exprev,375555.125
pdr,Oceania,N_America,exprev,0.049573790282
gro,Oceania,N_America,exprev,3.239000082
others,Oceania,N_America,exprev,327.76019287
osd,Oceania,N_America,exprev,3.635999918
Intermediate,Oceania,N_America,exprev,7598.6616211
pdr,S_America,N_America,exprev,0.48351097107
wht,S_America,N_America,exprev,0.3682499826
gro,S_America,N_America,exprev,21.724163055
others,S_America,N_America,exprev,5135.3759766
osd,S_America,N_America,exprev,95.246315002
Intermediate,S_America,N_America,exprev,44545.855469
wht,ROW,N_America,exprev,5.99979748949409E-0003
gro,ROW,N_America,exprev,0.019002448767
others,ROW,N_America,exprev,77.365577698
osd,ROW,N_America,exprev,4.5581908226
Intermediate,ROW,N_America,exprev,2965.8691406
gro,Africa,Oceania,exprev,4.62500005960464E-0003
others,Africa,Oceania,exprev,28.725444794
osd,Africa,Oceania,exprev,1.1873476505
Intermediate,Africa,Oceania,exprev,688.40826416
pdr,Asia,Oceania,exprev,0.23895454407
wht,Asia,Oceania,exprev,8.67137499153614E-0003
gro,Asia,Oceania,exprev,0.28768336773
others,Asia,Oceania,exprev,274.63272095
osd,Asia,Oceania,exprev,7.3850121498
Intermediate,Asia,Oceania,exprev,34466.019531
wht,Europe,Oceania,exprev,0.012364441529
gro,Europe,Oceania,exprev,5.5461397171
others,Europe,Oceania,exprev,97.531059265
osd,Europe,Oceania,exprev,0.35079696774
Intermediate,Europe,Oceania,exprev,22892.921875
pdr,N_America,Oceania,exprev,0.089235857129
wht,N_America,Oceania,exprev,2.607997179
gro,N_America,Oceania,exprev,35.592628479
others,N_America,Oceania,exprev,89.357749939
osd,N_America,Oceania,exprev,18.567970276
Intermediate,N_America,Oceania,exprev,16629.908203
pdr,Oceania,Oceania,exprev,0.043002001941
wht,Oceania,Oceania,exprev,29.438001633
gro,Oceania,Oceania,exprev,0.75700199604
others,Oceania,Oceania,exprev,128.85501099
osd,Oceania,Oceania,exprev,1.2840019464
Intermediate,Oceania,Oceania,exprev,6796.8461914
pdr,S_America,Oceania,exprev,3.14227584749460E-0003
wht,S_America,Oceania,exprev,1.87186396215111E-0003
