!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
pdr,Asia,Africa,exprev,6.8904881477
wht,Asia,Africa,exprev,163.176651
gro,Asia,Africa,exprev,7.0543861389
osd,Asia,Africa,exprev,35.267787933
others,Asia,Africa,exprev,381.01873779
Intermediate,Asia,Africa,exprev,39796.550781
pdr,Europe,Africa,exprev,0.64305794239
wht,Europe,Africa,exprev,763.52038574
gro,Europe,Africa,exprev,278.92196655
osd,Europe,Africa,exprev,10.799176216
others,Europe,Africa,exprev,515.81103516
Intermediate,Europe,Africa,exprev,70837.375
pdr,N_America,Africa,exprev,12.478427887
wht,N_America,Africa,exprev,1528.0252686
gro,N_America,Africa,exprev,485.96194458
osd,N_America,Africa,exprev,38.708457947
others,N_America,Africa,exprev,112.21875
Intermediate,N_America,Africa,exprev,19054.173828
pdr,Oceania,Africa,exprev,0.11587937176
wht,Oceania,Africa,exprev,329.99334717
gro,Oceania,Africa,exprev,0.9956086278
osd,Oceania,Africa,exprev,1.2152394056
others,Oceania,Africa,exprev,22.322574615
Intermediate,Oceania,Africa,exprev,1665.463501
pdr,S_America,Africa,exprev,0.10795426369
wht,S_America,Africa,exprev,245.45840454
gro,S_America,Africa,exprev,198.94451904
osd,S_America,Africa,exprev,55.207740784
others,S_America,Africa,exprev,92.992897034
Intermediate,S_America,Africa,exprev,3744.4714355
pdr,ROW,Africa,exprev,0.04798585549
wht,ROW,Africa,exprev,1.4477897882
gro,ROW,Africa,exprev,0.31183603406
osd,ROW,Africa,exprev,0.034447945654
others,ROW,Africa,exprev,5.9844937325
Intermediate,ROW,Africa,exprev,336.05160522
pdr,Africa,Asia,exprev,1.2056382895
wht,Africa,Asia,exprev,19.179885864
gro,Africa,Asia,exprev,57.062320709
osd,Africa,Asia,exprev,94.358154297
others,Africa,Asia,exprev,1718.6546631
Intermediate,Africa,Asia,exprev,24732.890625
pdr,Asia,Asia,exprev,193.30978394
wht,Asia,Asia,exprev,23.8177948
gro,Asia,Asia,exprev,849.04827881
osd,Asia,Asia,exprev,388.98950195
others,Asia,Asia,exprev,6262.6049805
Intermediate,Asia,Asia,exprev,753697.6875
pdr,Europe,Asia,exprev,2.5097179413
wht,Europe,Asia,exprev,375.47424316
gro,Europe,Asia,exprev,630.94189453
osd,Europe,Asia,exprev,75.242248535
others,Europe,Asia,exprev,1408.0161133
Intermediate,Europe,Asia,exprev,443158.53125
pdr,N_America,Asia,exprev,38.053924561
wht,N_America,Asia,exprev,4038.8991699
gro,N_America,Asia,exprev,4169.0825195
osd,N_America,Asia,exprev,4325.7568359
others,N_America,Asia,exprev,5304.3837891
Intermediate,N_America,Asia,exprev,293778.1875
pdr,Oceania,Asia,exprev,21.664999008
wht,Oceania,Asia,exprev,1701.7739258
gro,Oceania,Asia,exprev,233.69198608
osd,Oceania,Asia,exprev,157.07635498
others,Oceania,Asia,exprev,1773.1035156
Intermediate,Oceania,Asia,exprev,41214.601563
pdr,S_America,Asia,exprev,2.6161293983
wht,S_America,Asia,exprev,277.39022827
gro,S_America,Asia,exprev,674.20697021
osd,S_America,Asia,exprev,676.46398926
others,S_America,Asia,exprev,1585.177124
Intermediate,S_America,Asia,exprev,32259.693359
pdr,ROW,Asia,exprev,0.77247738838
wht,ROW,Asia,exprev,1.9689161777
gro,ROW,Asia,exprev,6.3165082932
osd,ROW,Asia,exprev,75.649887085
others,ROW,Asia,exprev,361.32516479
Intermediate,ROW,Asia,exprev,6875.1391602
pdr,Africa,Europe,exprev,6.5591225624
wht,Africa,Europe,exprev,26.243391037
gro,Africa,Europe,exprev,30.941074371
osd,Africa,Europe,exprev,103.2857666
others,Africa,Europe,exprev,6671.4375
Intermediate,Africa,Europe,exprev,68175.375
pdr,Asia,Europe,exprev,230.47981262
wht,Asia,Europe,exprev,353.18991089
gro,Asia,Europe,exprev,125.25263977
osd,Asia,Europe,exprev,534.35906982
others,Asia,Europe,exprev,6006.5375977
Intermediate,Asia,Europe,exprev,412252.75
pdr,Europe,Europe,exprev,187.82516479
wht,Europe,Europe,exprev,3470.3288574
gro,Europe,Europe,exprev,2953.9660645
osd,Europe,Europe,exprev,1893.7634277
others,Europe,Europe,exprev,26880.976563
Intermediate,Europe,Europe,exprev,1818748.25
pdr,N_America,Europe,exprev,89.141113281
wht,N_America,Europe,exprev,622.21807861
gro,N_America,Europe,exprev,489.82049561
osd,N_America,Europe,exprev,2570.4243164
others,N_America,Europe,exprev,3304.3186035
Intermediate,N_America,Europe,exprev,295340.03125
pdr,Oceania,Europe,exprev,4.8859996796
wht,Oceania,Europe,exprev,130.93936157
gro,Oceania,Europe,exprev,3.1396276951
osd,Oceania,Europe,exprev,7.3181757927
others,Oceania,Europe,exprev,414.06948853
Intermediate,Oceania,Europe,exprev,18126.048828
pdr,S_America,Europe,exprev,43.515605927
wht,S_America,Europe,exprev,160.3636322
gro,S_America,Europe,exprev,215.08828735
osd,S_America,Europe,exprev,1628.2895508
others,S_America,Europe,exprev,8299.6269531
Intermediate,S_America,Europe,exprev,41681.851563
pdr,ROW,Europe,exprev,1.3835189342
wht,ROW,Europe,exprev,4.9176425934
gro,ROW,Europe,exprev,20.861663818
osd,ROW,Europe,exprev,27.047050476
others,ROW,Europe,exprev,274.0567627
Intermediate,ROW,Europe,exprev,9866.2099609
pdr,Africa,N_America,exprev,0.59047138691
wht,Africa,N_America,exprev,12.616520882
gro,Africa,N_America,exprev,11.681835175
